,ssndataquality,dobdataquality,firstentrydate,state,matchingpersonalid,isbcpp,isbcpes,istlp,ismgh,issop,whenupdateddate,cleandashage,cleandashrace,cleandashethnicity,cleandashgender
13429,9,1,6/17/2015,wi,130008530,1.0,,,,1.0,20488,17,2.0,,
13430,9,1,6/17/2015,wi,130008531,1.0,,,,1.0,20395,16,5.0,,
13433,9,1,7/7/2015,wi,130008536,1.0,,,,1.0,20381,14,4.0,1.0,
13436,9,1,1/15/2015,wi,130008542,1.0,,,,1.0,20299,15,2.0,,3.0
13442,1,1,1/14/2015,wi,130008555,1.0,,,,1.0,20490,17,2.0,1.0,
13443,9,1,4/23/2015,wi,130008556,1.0,,,,1.0,20279,16,999.0,1.0,
13447,9,1,9/28/2015,wi,130008563,1.0,,,,1.0,20288,17,2.0,,1.0
13448,9,1,7/9/2015,wi,130008564,1.0,,,,1.0,20181,17,5.0,1.0,
13449,1,1,6/2/2015,wi,130008565,1.0,,,,1.0,20394,17,2.0,,1.0
13453,9,1,5/15/2015,wi,130008573,1.0,,,,1.0,20241,15,2.0,,1.0
13456,9,1,9/2/2015,wi,130008577,1.0,,,,1.0,20275,17,2.0,,
13499,1,1,3/31/2015,wi,130008625,,,1.0,,1.0,20370,20,2.0,,
13716,1,1,10/2/2014,wi,130008848,,,1.0,,1.0,20215,20,2.0,,1.0
14113,1,1,12/15/2015,wi,130009278,,,1.0,,1.0,20453,18,2.0,,
14217,2,99,11/14/2014,mi,130010250,1.0,1.0,,,,20424,12,4.0,,
14243,2,99,10/30/2014,mi,130010281,,1.0,1.0,,,20429,17,2.0,,
14253,1,1,11/10/2015,mi,130010291,,1.0,1.0,,,20405,17,5.0,1.0,1.0
14264,99,1,11/10/2015,mi,130010302,,1.0,1.0,,,20405,16,5.0,1.0,1.0
14358,8,99,3/16/2016,wi,130010397,1.0,,,,1.0,20563,999,999.0,999.0,999.0
14361,1,99,1/29/2016,wi,130010400,1.0,,,,1.0,20564,999,999.0,999.0,999.0
14369,1,99,1/8/2016,wi,130010408,1.0,,,,1.0,20563,999,999.0,999.0,999.0
14372,1,1,1/20/2016,wi,130010411,1.0,,,,1.0,20416,16,4.0,,
14374,8,1,9/15/2015,wi,130010413,1.0,,,,1.0,20413,15,4.0,,1.0
14375,1,1,10/12/2015,wi,130010414,1.0,,,,1.0,20423,16,5.0,,1.0
14376,1,99,9/14/2015,wi,130010415,1.0,,,,1.0,20562,999,999.0,999.0,999.0
14378,1,1,10/12/2015,wi,130010417,1.0,,,,1.0,20397,15,4.0,,
14398,1,99,1/5/2016,oh,130010915,,1.0,1.0,,,20548,16,4.0,,
14404,1,1,6/24/2015,oh,130011058,,1.0,1.0,,,20286,17,2.0,,
14709,1,1,7/14/2015,mn,130011955,,1.0,1.0,,,20413,17,2.0,,1.0
14967,8,99,11/14/2015,mn,130012217,,1.0,,,1.0,20564,15,2.0,,1.0
15282,8,1,2/8/2016,il,140000009,,1.0,1.0,,,20494,17,4.0,,1.0
15309,1,99,10/10/2014,il,140000036,,1.0,1.0,,,20101,17,2.0,,
15312,1,99,9/27/2015,il,140000039,,1.0,1.0,,,20362,17,2.0,,
15384,8,99,10/8/2014,mi,140000229,1.0,1.0,,,,20257,15,4.0,,
15387,8,99,7/8/2015,mi,140000232,1.0,1.0,,,,20425,15,4.0,1.0,
15392,8,1,10/28/2015,mi,140000237,1.0,1.0,,,,20247,14,,,
15393,8,99,9/22/2015,mi,140000238,1.0,1.0,,,,20566,999,999.0,999.0,999.0
15398,1,1,6/8/2015,mi,140000244,1.0,1.0,,,,20256,16,4.0,,
15405,8,99,4/28/2015,mi,140000251,1.0,1.0,,,,20566,999,999.0,999.0,999.0
15419,1,1,2/2/2016,mi,140000266,1.0,1.0,,,,20488,17,4.0,,
15422,9,99,4/24/2015,mi,140000269,1.0,1.0,,,,20564,999,999.0,999.0,999.0
15438,8,99,11/10/2014,mi,140000285,1.0,1.0,,,,20257,16,4.0,,
15483,1,1,5/8/2015,il,140000334,1.0,1.0,,,,20425,15,2.0,1.0,1.0
15484,8,99,3/26/2016,il,140000336,1.0,1.0,,,,20563,999,999.0,999.0,999.0
15485,8,99,2/22/2015,il,140000337,1.0,1.0,,,,20563,999,999.0,999.0,999.0
15692,1,1,11/13/2014,wi,140000876,1.0,,,,1.0,20125,15,2.0,,
15712,8,1,11/17/2015,wi,140000896,1.0,,,,1.0,20296,18,4.0,,
15717,9,99,10/22/2015,wi,140000901,1.0,,,,1.0,20461,12,2.0,,
15724,8,99,4/30/2015,wi,140000908,1.0,,,,1.0,20296,17,4.0,1.0,1.0
15725,9,99,3/9/2016,wi,140000909,1.0,,,,1.0,20556,999,999.0,999.0,999.0
15729,9,1,1/6/2016,wi,140000913,1.0,,,,1.0,20461,13,4.0,1.0,
15759,9,99,2/3/2015,wi,140000943,1.0,,,,1.0,20557,999,999.0,999.0,999.0
15802,1,99,12/11/2014,wi,140000986,1.0,,,,1.0,20424,16,4.0,,1.0
15832,9,1,10/21/2015,wi,140001016,1.0,,,,1.0,20475,14,4.0,,
15879,9,1,3/9/2016,wi,140001064,1.0,,,,1.0,20402,12,4.0,,
15914,8,99,4/30/2015,wi,140001099,1.0,,,,1.0,20296,17,4.0,1.0,1.0
15928,9,99,10/22/2015,wi,140001113,1.0,,,,1.0,20467,11,5.0,,
15944,9,1,10/22/2015,wi,140001129,1.0,,,,1.0,20388,12,5.0,,
15958,9,1,10/21/2015,wi,140001143,1.0,,,,1.0,20475,12,4.0,1.0,
15975,9,1,10/21/2015,wi,140001160,1.0,,,,1.0,20475,13,4.0,,
15984,8,99,11/13/2014,wi,140001169,1.0,,,,1.0,20296,16,4.0,,1.0
16011,9,1,3/15/2016,wi,140001196,1.0,,,,1.0,20489,15,4.0,,
16023,9,1,10/7/2015,wi,140001208,1.0,,,,1.0,20388,12,5.0,,
16055,8,1,11/17/2015,wi,140001240,1.0,,,,1.0,20296,16,1.0,,1.0
16077,8,1,2/23/2016,wi,140001262,1.0,,,,1.0,20296,15,4.0,,1.0
16085,1,99,2/3/2016,wi,140001270,1.0,,,,1.0,20570,999,999.0,999.0,999.0
16099,9,1,3/15/2016,wi,140001284,1.0,,,,1.0,20489,16,4.0,,
16107,9,99,10/22/2015,wi,140001292,1.0,,,,1.0,20467,11,4.0,,
16109,9,99,3/15/2016,wi,140001294,1.0,,,,1.0,20557,999,999.0,999.0,999.0
16170,1,1,7/20/2015,mn,140001357,,,1.0,,1.0,20481,18,,,1.0
17000,1,1,4/2/2015,wi,150003578,1.0,,1.0,,,20305,17,2.0,,
17054,1,99,1/26/2016,oh,150003632,1.0,1.0,,,,20567,999,999.0,999.0,999.0
17194,1,1,8/10/2015,mi,160003393,,1.0,,1.0,,20262,18,2.0,,
17208,1,1,12/3/2014,wi,160003621,1.0,,1.0,,,20409,18,5.0,,
17227,1,1,11/20/2015,mi,160003641,,1.0,1.0,,,20415,16,5.0,,
17228,8,99,2/2/2015,mi,160003642,,1.0,1.0,,,20380,17,,1.0,1.0
17231,1,1,2/29/2016,mi,160003646,,1.0,1.0,,,20474,17,4.0,,
